,R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR.,B_SIG_STR.,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_TD,B_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_DISTANCE,B_DISTANCE,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner
3654,Pat Audinwood,John Makdessi,0,1,19 of 162,74 of 127,11%,58%,19 of 162,77 of 134,1 of 2,0 of 0,50%,0%,0,0,0,0,0,0,9 of 136,42 of 77,8 of 19,9 of 19,2 of 7,23 of 31,19 of 161,71 of 122,0 of 1,2 of 2,0 of 0,1 of 3,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2010-12-11,"Montreal, Quebec, Canada",Lightweight Bout,John Makdessi
3655,Jonathan Brookins,Michael Johnson,0,1,32 of 67,30 of 62,47%,48%,57 of 95,38 of 70,3 of 13,0 of 1,23%,0%,0,0,4,0,0,1,32 of 67,24 of 55,0 of 0,2 of 3,0 of 0,4 of 4,7 of 30,18 of 44,2 of 4,10 of 13,23 of 33,2 of 5,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2010-12-04,"Las Vegas, Nevada, USA",Ultimate Fighter 12 Lightweight Tournament Title Bout,Jonathan Brookins
3656,Stephan Bonnar,Igor Pokrajac,0,0,44 of 80,23 of 55,55%,41%,147 of 199,40 of 73,3 of 5,0 of 1,60%,0%,1,0,7,0,1,1,19 of 50,16 of 47,23 of 28,5 of 6,2 of 2,2 of 2,10 of 28,10 of 38,16 of 26,9 of 12,18 of 26,4 of 5,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,2010-12-04,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Stephan Bonnar
3657,Kendall Grove,Demian Maia,0,0,18 of 68,42 of 79,26%,53%,50 of 106,71 of 111,0 of 0,5 of 13,0%,38%,0,1,0,6,0,0,17 of 66,29 of 64,1 of 1,11 of 12,0 of 1,2 of 3,13 of 62,12 of 40,4 of 5,1 of 2,1 of 1,29 of 37,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,2010-12-04,"Las Vegas, Nevada, USA",Middleweight Bout,Demian Maia
3658,Johny Hendricks,Rick Story,0,0,24 of 58,55 of 125,41%,44%,45 of 79,98 of 170,6 of 13,2 of 5,46%,40%,1,1,1,0,0,0,18 of 51,20 of 79,1 of 2,24 of 34,5 of 5,11 of 12,19 of 49,33 of 93,5 of 9,21 of 31,0 of 0,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,2010-12-04,"Las Vegas, Nevada, USA",Welterweight Bout,Rick Story
3659,Nam Phan,Leonard Garcia,0,0,102 of 227,64 of 282,44%,22%,116 of 241,70 of 288,0 of 0,2 of 3,0%,66%,1,0,1,0,0,0,80 of 199,40 of 244,17 of 22,16 of 27,5 of 6,8 of 11,93 of 214,58 of 275,3 of 3,6 of 7,6 of 10,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,2010-12-04,"Las Vegas, Nevada, USA",Featherweight Bout,Leonard Garcia
3660,Cody McKenzie,Aaron Wilkinson,0,0,0 of 2,0 of 1,0%,0%,8 of 10,0 of 1,1 of 1,1 of 1,100%,100%,2,0,0,0,2,1,0 of 2,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0,0 of 2,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0,Submission,1,2:03,3 Rnd (5-5-5),Chris Tognoni,2010-12-04,"Las Vegas, Nevada, USA",Lightweight Bout,Cody McKenzie
3661,Ian Loveland,Tyler Toner,2,0,44 of 112,21 of 78,39%,26%,75 of 149,30 of 87,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,39 of 103,10 of 61,4 of 7,4 of 5,1 of 2,7 of 12,31 of 83,20 of 77,3 of 4,0 of 0,10 of 25,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,2010-12-04,"Las Vegas, Nevada, USA",Featherweight Bout,Ian Loveland
3662,Sako Chivitchian,Kyle Watson,0,0,36 of 132,72 of 135,27%,53%,54 of 153,88 of 159,0 of 1,0 of 12,0%,0%,0,0,0,0,0,0,26 of 122,28 of 86,6 of 6,31 of 33,4 of 4,13 of 16,25 of 116,54 of 115,11 of 16,18 of 20,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2010-12-04,"Las Vegas, Nevada, USA",Lightweight Bout,Kyle Watson
3663,Will Campuzano,Nick Pace,0,0,16 of 51,18 of 44,31%,40%,37 of 74,57 of 89,1 of 2,7 of 9,50%,77%,0,1,0,3,1,0,12 of 47,6 of 31,3 of 3,4 of 4,1 of 1,8 of 9,12 of 42,17 of 42,0 of 0,0 of 1,4 of 9,1 of 1,Submission,3,4:33,3 Rnd (5-5-5),Chris Tognoni,2010-12-04,"Las Vegas, Nevada, USA",Bantamweight Bout,Nick Pace
3664,Fredson Paixao,Pablo Garza,0,1,1 of 1,3 of 7,100%,42%,1 of 1,3 of 7,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,0 of 0,2 of 6,0 of 0,0 of 0,1 of 1,1 of 1,1 of 1,2 of 6,0 of 0,0 of 0,0 of 0,1 of 1,KO/TKO,1,0:51,3 Rnd (5-5-5),Steve Mazzagatti,2010-12-04,"Las Vegas, Nevada, USA",Featherweight Bout,Pablo Garza
3665,Rich Attonito,David Branch,0,0,6 of 15,16 of 27,40%,59%,17 of 32,53 of 79,0 of 0,4 of 10,0%,40%,0,0,0,7,0,0,2 of 11,2 of 13,4 of 4,6 of 6,0 of 0,8 of 8,2 of 9,0 of 8,4 of 5,14 of 14,0 of 1,2 of 5,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,2010-12-04,"Las Vegas, Nevada, USA",Middleweight Bout,David Branch
3666,Rampage Jackson,Lyoto Machida,0,0,16 of 49,33 of 51,32%,64%,70 of 104,53 of 71,1 of 1,1 of 3,100%,33%,0,1,0,3,0,0,9 of 41,13 of 23,3 of 3,6 of 7,4 of 5,14 of 21,6 of 35,26 of 40,10 of 14,6 of 10,0 of 0,1 of 1,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,2010-11-20,"Auburn Hills, Michigan, USA",Light Heavyweight Bout,Rampage Jackson
3667,Matt Hughes,BJ Penn,0,1,3 of 6,7 of 9,50%,77%,3 of 6,7 of 9,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,2 of 5,7 of 9,1 of 1,0 of 0,0 of 0,0 of 0,3 of 6,4 of 6,0 of 0,0 of 0,0 of 0,3 of 3,KO/TKO,1,0:21,3 Rnd (5-5-5),Dan Miragliotta,2010-11-20,"Auburn Hills, Michigan, USA",Welterweight Bout,BJ Penn
3668,Gerald Harris,Maiquel Falcao,0,1,8 of 61,25 of 45,13%,55%,8 of 61,54 of 77,2 of 7,1 of 1,28%,100%,0,3,0,3,0,0,5 of 57,18 of 37,3 of 4,6 of 6,0 of 0,1 of 2,6 of 55,9 of 22,2 of 6,5 of 9,0 of 0,11 of 14,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,2010-11-20,"Auburn Hills, Michigan, USA",Middleweight Bout,Maiquel Falcao
3669,Phil Davis,Tim Boetsch,0,0,33 of 75,7 of 19,44%,36%,51 of 98,10 of 22,2 of 2,0 of 0,100%,0%,2,1,3,0,0,0,10 of 40,3 of 12,15 of 25,1 of 2,8 of 10,3 of 5,14 of 35,7 of 18,7 of 10,0 of 1,12 of 30,0 of 0,Submission,2,2:55,3 Rnd (5-5-5),Herb Dean,2010-11-20,"Auburn Hills, Michigan, USA",Light Heavyweight Bout,Phil Davis
3670,George Sotiropoulos,Joe Lauzon,0,0,19 of 70,16 of 79,27%,20%,24 of 76,24 of 89,3 of 11,0 of 0,27%,0%,2,0,3,1,0,1,13 of 61,14 of 77,6 of 9,2 of 2,0 of 0,0 of 0,14 of 59,6 of 64,3 of 9,6 of 7,2 of 2,4 of 8,Submission,2,2:43,3 Rnd (5-5-5),Marc Fennell,2010-11-20,"Auburn Hills, Michigan, USA",Lightweight Bout,George Sotiropoulos
3671,Matt Brown,Brian Foster,0,0,13 of 21,25 of 44,61%,56%,23 of 32,36 of 63,1 of 1,3 of 3,100%,100%,1,2,2,2,1,1,4 of 8,15 of 32,3 of 4,8 of 9,6 of 9,2 of 3,8 of 16,11 of 20,1 of 1,2 of 2,4 of 4,12 of 22,Submission,2,2:11,3 Rnd (5-5-5),Herb Dean,2010-11-20,"Auburn Hills, Michigan, USA",Welterweight Bout,Brian Foster
3672,Aaron Simpson,Mark Munoz,0,0,43 of 118,76 of 156,36%,48%,70 of 146,92 of 174,5 of 11,1 of 4,45%,25%,0,0,0,0,0,1,21 of 90,35 of 104,18 of 24,19 of 23,4 of 4,22 of 29,27 of 85,29 of 77,14 of 30,43 of 74,2 of 3,4 of 5,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Fennell,2010-11-20,"Auburn Hills, Michigan, USA",Middleweight Bout,Mark Munoz
3673,Karo Parisyan,Dennis Hallman,0,1,2 of 6,10 of 14,33%,71%,5 of 9,18 of 22,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,2 of 6,6 of 10,0 of 0,4 of 4,0 of 0,0 of 0,2 of 6,2 of 4,0 of 0,6 of 7,0 of 0,2 of 3,KO/TKO,1,1:47,3 Rnd (5-5-5),Dan Miragliotta,2010-11-20,"Auburn Hills, Michigan, USA",Welterweight Bout,Dennis Hallman
3674,Mike Lullo,Edson Barboza,0,2,12 of 45,43 of 69,26%,62%,68 of 104,44 of 70,0 of 5,2 of 2,0%,100%,1,0,0,1,0,0,9 of 36,16 of 38,1 of 4,3 of 5,2 of 5,24 of 26,12 of 45,43 of 67,0 of 0,0 of 1,0 of 0,0 of 1,KO/TKO,3,0:26,3 Rnd (5-5-5),Marc Fennell,2010-11-20,"Auburn Hills, Michigan, USA",Lightweight Bout,Edson Barboza
3675,Paul Kelly,TJ O'Brien,1,0,44 of 104,32 of 69,42%,46%,106 of 171,38 of 77,1 of 1,1 of 1,100%,100%,0,0,1,2,1,0,37 of 93,17 of 47,2 of 3,5 of 8,5 of 8,10 of 14,17 of 66,28 of 61,2 of 2,0 of 2,25 of 36,4 of 6,KO/TKO,2,3:16,3 Rnd (5-5-5),Dan Miragliotta,2010-11-20,"Auburn Hills, Michigan, USA",Lightweight Bout,Paul Kelly
3676,Tyson Griffin,Nik Lentz,1,0,31 of 60,34 of 59,51%,57%,66 of 102,75 of 102,8 of 13,4 of 8,61%,50%,1,3,0,2,0,0,19 of 48,19 of 44,5 of 5,9 of 9,7 of 7,6 of 6,23 of 49,27 of 45,6 of 9,4 of 6,2 of 2,3 of 8,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,2010-11-20,"Auburn Hills, Michigan, USA",Lightweight Bout,Nik Lentz
3677,Nate Marquardt,Yushin Okami,0,0,21 of 61,25 of 83,34%,30%,27 of 68,40 of 98,3 of 4,1 of 9,75%,11%,2,0,1,3,0,0,12 of 46,23 of 80,5 of 10,2 of 3,4 of 5,0 of 0,16 of 51,22 of 80,5 of 8,2 of 2,0 of 2,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,2010-11-13,"Oberhausen, North Rhine-Westphalia, Germany",Middleweight Bout,Yushin Okami
3678,Dennis Siver,Andre Winner,1,0,30 of 71,13 of 44,42%,29%,37 of 81,13 of 44,0 of 1,0 of 0,0%,0%,1,0,1,0,0,0,15 of 52,2 of 27,4 of 6,5 of 7,11 of 13,6 of 10,25 of 61,13 of 44,1 of 3,0 of 0,4 of 7,0 of 0,Submission,1,3:37,3 Rnd (5-5-5),Kevin Mulhall,2010-11-13,"Oberhausen, North Rhine-Westphalia, Germany",Lightweight Bout,Dennis Siver
3679,Amir Sadollah,Peter Sobotta,0,0,90 of 209,34 of 126,43%,26%,104 of 223,35 of 127,0 of 0,0 of 5,0%,0%,0,0,0,0,0,0,27 of 128,25 of 110,14 of 27,4 of 10,49 of 54,5 of 6,75 of 189,31 of 118,13 of 18,3 of 8,2 of 2,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,2010-11-13,"Oberhausen, North Rhine-Westphalia, Germany",Welterweight Bout,Amir Sadollah
3680,Krzysztof Soszynski,Goran Reljic,0,0,57 of 114,23 of 74,50%,31%,107 of 168,74 of 133,0 of 1,2 of 6,0%,33%,3,0,1,1,0,0,35 of 89,14 of 60,6 of 7,7 of 9,16 of 18,2 of 5,34 of 84,23 of 73,9 of 10,0 of 0,14 of 20,0 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,2010-11-13,"Oberhausen, North Rhine-Westphalia, Germany",Light Heavyweight Bout,Krzysztof Soszynski
3681,Duane Ludwig,Nick Osipczak,0,2,99 of 231,60 of 110,42%,54%,106 of 238,84 of 135,0 of 4,2 of 5,0%,40%,0,0,0,1,0,0,49 of 153,30 of 71,38 of 61,9 of 13,12 of 17,21 of 26,70 of 184,46 of 86,28 of 46,6 of 10,1 of 1,8 of 14,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,2010-11-13,"Oberhausen, North Rhine-Westphalia, Germany",Welterweight Bout,Duane Ludwig
3682,Vladimir Matyushenko,Alexandre Ferreira,0,0,19 of 33,6 of 10,57%,60%,33 of 48,9 of 13,2 of 2,0 of 3,100%,0%,0,0,3,0,0,0,19 of 32,1 of 3,0 of 1,3 of 5,0 of 0,2 of 2,3 of 9,3 of 5,0 of 1,3 of 5,16 of 23,0 of 0,KO/TKO,1,2:20,3 Rnd (5-5-5),Kevin Mulhall,2010-11-13,"Oberhausen, North Rhine-Westphalia, Germany",Light Heavyweight Bout,Vladimir Matyushenko
3683,Pascal Krauss,Mark Scanlon,0,0,50 of 98,33 of 94,51%,35%,230 of 290,62 of 129,3 of 4,3 of 4,75%,75%,2,2,6,0,0,1,24 of 67,28 of 83,21 of 25,2 of 7,5 of 6,3 of 4,11 of 47,26 of 79,14 of 18,3 of 9,25 of 33,4 of 6,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,2010-11-13,"Oberhausen, North Rhine-Westphalia, Germany",Welterweight Bout,Pascal Krauss
3684,Kyle Noke,Rob Kimmons,0,0,25 of 38,16 of 30,65%,53%,43 of 57,35 of 49,3 of 4,0 of 1,75%,0%,2,0,6,2,0,1,14 of 27,13 of 27,7 of 7,3 of 3,4 of 4,0 of 0,2 of 7,9 of 20,4 of 5,4 of 6,19 of 26,3 of 4,Submission,2,1:33,3 Rnd (5-5-5),Kevin Mulhall,2010-11-13,"Oberhausen, North Rhine-Westphalia, Germany",Middleweight Bout,Kyle Noke
3685,Seth Petruzelli,Karlos Vemola,0,0,3 of 10,18 of 42,30%,42%,12 of 22,43 of 76,0 of 0,2 of 2,0%,100%,2,0,0,0,0,0,2 of 8,17 of 41,1 of 2,1 of 1,0 of 0,0 of 0,2 of 7,4 of 12,1 of 2,0 of 0,0 of 1,14 of 30,KO/TKO,1,3:46,3 Rnd (5-5-5),Leon Roberts,2010-11-13,"Oberhausen, North Rhine-Westphalia, Germany",Light Heavyweight Bout,Karlos Vemola
3686,Kris McCray,Carlos Eduardo Rocha,0,0,3 of 8,2 of 4,37%,50%,14 of 19,3 of 5,2 of 2,0 of 0,100%,0%,0,1,2,1,0,1,1 of 4,1 of 3,2 of 3,0 of 0,0 of 1,1 of 1,1 of 5,2 of 4,0 of 1,0 of 0,2 of 2,0 of 0,Submission,1,2:21,3 Rnd (5-5-5),Marc Goddard,2010-11-13,"Oberhausen, North Rhine-Westphalia, Germany",Welterweight Bout,Carlos Eduardo Rocha
3687,Brock Lesnar,Cain Velasquez,0,2,9 of 19,31 of 67,47%,46%,13 of 23,62 of 107,1 of 3,1 of 2,33%,50%,0,0,0,1,0,0,7 of 16,30 of 66,2 of 3,1 of 1,0 of 0,0 of 0,5 of 14,11 of 30,4 of 5,4 of 5,0 of 0,16 of 32,KO/TKO,1,4:12,5 Rnd (5-5-5-5-5),Herb Dean,2010-10-23,"Anaheim, California, USA",UFC Heavyweight Title Bout,Cain Velasquez
3688,Jake Shields,Martin Kampmann,0,0,25 of 46,35 of 54,54%,64%,53 of 80,57 of 77,4 of 15,0 of 0,26%,0%,0,3,10,1,0,0,9 of 25,18 of 33,9 of 11,17 of 21,7 of 10,0 of 0,21 of 42,8 of 22,2 of 2,20 of 25,2 of 2,7 of 7,Decision - Split,3,5:00,3 Rnd (5-5-5),John McCarthy,2010-10-23,"Anaheim, California, USA",Welterweight Bout,Jake Shields
3689,Diego Sanchez,Paulo Thiago,0,0,48 of 112,36 of 65,42%,55%,73 of 139,49 of 86,2 of 8,1 of 3,25%,33%,0,4,7,1,0,0,33 of 90,28 of 57,14 of 20,8 of 8,1 of 2,0 of 0,8 of 40,15 of 34,1 of 4,19 of 26,39 of 68,2 of 5,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,2010-10-23,"Anaheim, California, USA",Welterweight Bout,Diego Sanchez
3690,Tito Ortiz,Matt Hamill,0,0,37 of 131,41 of 134,28%,30%,59 of 157,58 of 154,0 of 2,3 of 3,0%,100%,0,0,0,2,0,0,19 of 108,33 of 119,9 of 12,2 of 5,9 of 11,6 of 10,35 of 125,35 of 112,1 of 4,0 of 1,1 of 2,6 of 21,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,2010-10-23,"Anaheim, California, USA",Light Heavyweight Bout,Matt Hamill
3691,Brendan Schaub,Gabriel Gonzaga,1,0,53 of 199,37 of 110,26%,33%,53 of 199,37 of 110,0 of 1,0 of 2,0%,0%,0,1,0,0,0,0,50 of 191,21 of 89,3 of 8,4 of 5,0 of 0,12 of 16,44 of 185,33 of 104,8 of 13,4 of 6,1 of 1,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,2010-10-23,"Anaheim, California, USA",Heavyweight Bout,Brendan Schaub
3692,Court McGee,Ryan Jensen,0,1,60 of 165,36 of 103,36%,34%,69 of 174,44 of 111,2 of 4,1 of 3,50%,33%,1,0,2,1,0,0,34 of 125,27 of 89,11 of 22,6 of 8,15 of 18,3 of 6,49 of 145,32 of 96,0 of 3,2 of 3,11 of 17,2 of 4,Submission,3,1:21,3 Rnd (5-5-5),Herb Dean,2010-10-23,"Anaheim, California, USA",Middleweight Bout,Court McGee
3693,Patrick Cote,Tom Lawlor,0,0,6 of 22,49 of 75,27%,65%,28 of 44,153 of 189,0 of 0,5 of 6,0%,83%,0,3,0,4,1,0,5 of 18,33 of 59,1 of 3,6 of 6,0 of 1,10 of 10,0 of 13,5 of 20,4 of 4,11 of 11,2 of 5,33 of 44,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,2010-10-23,"Anaheim, California, USA",Middleweight Bout,Tom Lawlor
3694,Mike Guymon,Daniel Roberts,0,0,0 of 3,2 of 10,0%,20%,0 of 3,2 of 10,0 of 1,1 of 1,0%,100%,0,1,0,0,0,0,0 of 3,1 of 8,0 of 0,0 of 0,0 of 0,1 of 2,0 of 3,2 of 10,0 of 0,0 of 0,0 of 0,0 of 0,Submission,1,1:13,3 Rnd (5-5-5),Jason Herzog,2010-10-23,"Anaheim, California, USA",Welterweight Bout,Daniel Roberts
3695,Sam Stout,Paul Taylor,0,0,107 of 295,140 of 296,36%,47%,108 of 296,140 of 296,1 of 2,0 of 3,50%,0%,0,0,1,0,0,0,58 of 235,88 of 228,16 of 19,25 of 35,33 of 41,27 of 33,105 of 292,135 of 289,2 of 3,5 of 7,0 of 0,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,2010-10-23,"Anaheim, California, USA",Lightweight Bout,Sam Stout
3696,Chris Camozzi,Dongi Yang,0,0,74 of 130,51 of 98,56%,52%,85 of 145,60 of 117,0 of 1,3 of 5,0%,60%,0,0,1,2,1,0,32 of 82,36 of 82,25 of 29,7 of 8,17 of 19,8 of 8,58 of 107,45 of 92,16 of 23,4 of 4,0 of 0,2 of 2,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,2010-10-23,"Anaheim, California, USA",Middleweight Bout,Chris Camozzi
3697,Jon Madsen,Gilbert Yvel,0,0,18 of 31,0 of 2,58%,0%,20 of 35,0 of 2,1 of 1,0 of 0,100%,0%,0,0,0,0,0,0,18 of 31,0 of 2,0 of 0,0 of 0,0 of 0,0 of 0,0 of 2,0 of 2,0 of 0,0 of 0,18 of 29,0 of 0,KO/TKO,1,1:48,3 Rnd (5-5-5),John McCarthy,2010-10-23,"Anaheim, California, USA",Heavyweight Bout,Jon Madsen
3698,Michael Bisping,Yoshihiro Akiyama,0,0,118 of 267,50 of 177,44%,28%,119 of 268,50 of 177,0 of 5,0 of 1,0%,0%,0,0,0,0,0,0,89 of 232,35 of 157,11 of 15,7 of 9,18 of 20,8 of 11,115 of 261,49 of 173,3 of 6,1 of 4,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,2010-10-16,"London, England, United Kingdom",Middleweight Bout,Michael Bisping
3699,Dan Hardy,Carlos Condit,0,1,9 of 41,26 of 59,21%,44%,9 of 41,26 of 59,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,5 of 30,10 of 36,0 of 2,3 of 5,4 of 9,13 of 18,9 of 41,24 of 57,0 of 0,0 of 0,0 of 0,2 of 2,KO/TKO,1,4:27,3 Rnd (5-5-5),Dan Miragliotta,2010-10-16,"London, England, United Kingdom",Welterweight Bout,Carlos Condit
3700,John Hathaway,Mike Pyle,0,0,18 of 99,46 of 97,18%,47%,57 of 139,121 of 180,0 of 2,5 of 13,0%,38%,0,1,0,4,0,0,13 of 90,37 of 82,5 of 9,6 of 11,0 of 0,3 of 4,18 of 97,16 of 58,0 of 2,6 of 10,0 of 0,24 of 29,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,2010-10-16,"London, England, United Kingdom",Welterweight Bout,Mike Pyle
3701,Cheick Kongo,Travis Browne,0,0,58 of 109,22 of 75,53%,29%,90 of 142,26 of 79,0 of 2,2 of 3,0%,66%,0,0,0,1,0,0,19 of 62,7 of 50,7 of 7,8 of 16,32 of 40,7 of 9,31 of 76,15 of 63,27 of 33,7 of 12,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,2010-10-16,"London, England, United Kingdom",Heavyweight Bout,
3702,James Wilks,Claude Patrick,0,0,12 of 28,23 of 40,42%,57%,46 of 66,63 of 85,0 of 1,3 of 5,0%,60%,0,0,0,8,0,0,3 of 14,17 of 32,4 of 7,3 of 5,5 of 7,3 of 3,3 of 12,3 of 7,9 of 16,3 of 3,0 of 0,17 of 30,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,2010-10-16,"London, England, United Kingdom",Welterweight Bout,Claude Patrick
3703,Cyrille Diabate,Alexander Gustafsson,0,1,11 of 22,28 of 56,50%,50%,13 of 24,60 of 94,0 of 1,2 of 3,0%,66%,0,3,0,7,0,0,6 of 14,23 of 46,3 of 5,2 of 4,2 of 3,3 of 6,10 of 17,7 of 25,1 of 5,7 of 11,0 of 0,14 of 20,Submission,2,2:41,3 Rnd (5-5-5),Leon Roberts,2010-10-16,"London, England, United Kingdom",Light Heavyweight Bout,Alexander Gustafsson
3704,Rob Broughton,Vinicius Queiroz,0,0,67 of 99,47 of 103,67%,45%,147 of 206,63 of 131,0 of 1,5 of 7,0%,71%,6,0,3,5,0,0,46 of 78,36 of 88,9 of 9,8 of 11,12 of 12,3 of 4,57 of 88,33 of 74,2 of 3,2 of 2,8 of 8,12 of 27,Submission,3,1:43,3 Rnd (5-5-5),Marc Goddard,2010-10-16,"London, England, United Kingdom",Heavyweight Bout,Rob Broughton
3705,Paul Sass,Mark Holst,0,0,2 of 4,3 of 10,50%,30%,11 of 15,7 of 14,0 of 2,0 of 0,0%,0%,4,0,0,0,0,0,1 of 3,1 of 8,1 of 1,1 of 1,0 of 0,1 of 1,2 of 4,1 of 8,0 of 0,0 of 0,0 of 0,2 of 2,Submission,1,4:45,3 Rnd (5-5-5),Dan Miragliotta,2010-10-16,"London, England, United Kingdom",Lightweight Bout,Paul Sass
3706,Spencer Fisher,Curt Warburton,0,0,68 of 93,45 of 80,73%,56%,170 of 212,82 of 144,1 of 6,1 of 3,16%,33%,2,2,2,1,0,0,14 of 30,8 of 36,30 of 36,19 of 21,24 of 27,18 of 23,24 of 45,24 of 53,35 of 37,17 of 19,9 of 11,4 of 8,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,2010-10-16,"London, England, United Kingdom",Lightweight Bout,Spencer Fisher
3707,James McSweeney,Fabio Maldonado,0,1,49 of 99,89 of 123,49%,72%,58 of 111,143 of 184,0 of 1,0 of 1,0%,0%,0,2,0,4,0,0,20 of 62,50 of 83,16 of 23,39 of 40,13 of 14,0 of 0,38 of 81,65 of 96,11 of 18,5 of 6,0 of 0,19 of 21,KO/TKO,3,0:48,3 Rnd (5-5-5),Marc Goddard,2010-10-16,"London, England, United Kingdom",Light Heavyweight Bout,Fabio Maldonado
3708,Frank Mir,Mirko Cro Cop,1,0,25 of 79,19 of 69,31%,27%,45 of 100,33 of 89,0 of 2,0 of 0,0%,0%,0,0,0,0,0,0,11 of 61,12 of 61,7 of 9,4 of 4,7 of 9,3 of 4,13 of 66,13 of 62,12 of 13,6 of 7,0 of 0,0 of 0,KO/TKO,3,4:02,3 Rnd (5-5-5),Herb Dean,2010-09-25,"Indianapolis, Indiana, USA",Heavyweight Bout,Frank Mir
3709,Rogerio Nogueira,Ryan Bader,0,0,28 of 127,42 of 127,22%,33%,39 of 138,66 of 161,0 of 0,5 of 16,0%,31%,0,0,0,0,0,0,21 of 113,30 of 114,4 of 11,8 of 9,3 of 3,4 of 4,25 of 122,24 of 91,3 of 5,7 of 16,0 of 0,11 of 20,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,2010-09-25,"Indianapolis, Indiana, USA",Light Heavyweight Bout,Ryan Bader
3710,Matt Serra,Chris Lytle,0,0,124 of 298,153 of 297,41%,51%,133 of 311,172 of 317,0 of 1,0 of 0,0%,0%,0,0,0,0,0,0,64 of 226,133 of 276,48 of 59,20 of 21,12 of 13,0 of 0,123 of 295,150 of 293,1 of 3,3 of 4,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2010-09-25,"Indianapolis, Indiana, USA",Welterweight Bout,Chris Lytle
3711,Sean Sherk,Evan Dunham,0,0,38 of 115,75 of 164,33%,45%,81 of 165,123 of 216,5 of 18,0 of 0,27%,0%,0,7,4,1,1,0,31 of 107,65 of 149,3 of 4,9 of 14,4 of 4,1 of 1,31 of 107,69 of 156,2 of 3,6 of 8,5 of 5,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Rob Hinds,2010-09-25,"Indianapolis, Indiana, USA",Lightweight Bout,Sean Sherk
