,R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR.,B_SIG_STR.,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_TD,B_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_DISTANCE,B_DISTANCE,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner
3279,TJ Waldburger,Jake Hecht,0,0,3 of 3,2 of 5,100%,40%,3 of 3,2 of 5,1 of 1,0 of 0,100%,0%,1,0,0,0,0,0,2 of 2,1 of 4,0 of 0,1 of 1,1 of 1,0 of 0,3 of 3,2 of 5,0 of 0,0 of 0,0 of 0,0 of 0,Submission,1,0:55,3 Rnd (5-5-5),John Sharp,2012-03-02,"Sydney, New South Wales, Australia",Welterweight Bout,TJ Waldburger
3280,Mackens Semerzier,Daniel Pineda,0,1,9 of 12,14 of 21,75%,66%,9 of 12,15 of 22,0 of 0,0 of 0,0%,0%,0,2,0,1,0,0,4 of 7,11 of 18,2 of 2,2 of 2,3 of 3,1 of 1,6 of 9,10 of 16,3 of 3,3 of 4,0 of 0,1 of 1,Submission,1,2:05,3 Rnd (5-5-5),Leon Roberts,2012-03-02,"Sydney, New South Wales, Australia",Featherweight Bout,Daniel Pineda
3281,Oli Thompson,Shawn Jordan,0,0,29 of 62,64 of 113,46%,56%,32 of 66,68 of 117,0 of 1,0 of 0,0%,0%,1,0,0,0,0,0,15 of 48,57 of 105,6 of 6,7 of 8,8 of 8,0 of 0,28 of 60,56 of 102,1 of 2,6 of 6,0 of 0,2 of 5,KO/TKO,2,3:53,3 Rnd (5-5-5),,2012-03-02,"Sydney, New South Wales, Australia",Heavyweight Bout,Shawn Jordan
3282,Frankie Edgar,Benson Henderson,0,0,68 of 190,87 of 264,35%,32%,81 of 204,100 of 277,5 of 12,1 of 1,41%,100%,0,3,0,0,0,0,33 of 132,50 of 212,18 of 37,25 of 32,17 of 21,12 of 20,57 of 177,71 of 240,6 of 6,8 of 11,5 of 7,8 of 13,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,2012-02-25,"Saitama, Japan",UFC Lightweight Title Bout,Benson Henderson
3283,Rampage Jackson,Ryan Bader,0,0,16 of 39,55 of 101,41%,54%,30 of 53,109 of 158,1 of 4,4 of 9,25%,44%,0,0,0,4,0,0,8 of 29,27 of 71,6 of 8,9 of 9,2 of 2,19 of 21,9 of 31,20 of 55,6 of 6,10 of 13,1 of 2,25 of 33,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,2012-02-25,"Saitama, Japan",Light Heavyweight Bout,Ryan Bader
3284,Mark Hunt,Cheick Kongo,1,0,10 of 16,5 of 12,62%,41%,10 of 16,5 of 12,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,8 of 14,2 of 7,0 of 0,2 of 2,2 of 2,1 of 3,9 of 15,4 of 11,0 of 0,1 of 1,1 of 1,0 of 0,KO/TKO,1,2:11,3 Rnd (5-5-5),Herb Dean,2012-02-25,"Saitama, Japan",Heavyweight Bout,Mark Hunt
3285,Yoshihiro Akiyama,Jake Shields,0,0,33 of 97,91 of 201,34%,45%,52 of 118,119 of 232,2 of 4,2 of 14,50%,14%,0,0,0,1,0,0,29 of 92,49 of 142,2 of 3,24 of 32,2 of 2,18 of 27,28 of 90,79 of 177,5 of 7,11 of 23,0 of 0,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,2012-02-25,"Saitama, Japan",Welterweight Bout,Jake Shields
3286,Yushin Okami,Tim Boetsch,0,1,29 of 75,42 of 93,38%,45%,43 of 91,47 of 99,1 of 2,0 of 1,50%,0%,0,1,2,0,0,0,26 of 72,36 of 79,2 of 2,3 of 9,1 of 1,3 of 5,19 of 58,26 of 76,0 of 0,11 of 12,10 of 17,5 of 5,KO/TKO,3,0:54,3 Rnd (5-5-5),Leon Roberts,2012-02-25,"Saitama, Japan",Middleweight Bout,Tim Boetsch
3287,Hatsu Hioki,Bart Palaszewski,0,0,67 of 111,26 of 78,60%,33%,175 of 221,31 of 84,2 of 5,0 of 0,40%,0%,2,1,5,0,1,0,48 of 86,10 of 45,15 of 21,6 of 10,4 of 4,10 of 23,31 of 68,25 of 77,2 of 2,1 of 1,34 of 41,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2012-02-25,"Saitama, Japan",Featherweight Bout,Hatsu Hioki
3288,Anthony Pettis,Joe Lauzon,1,0,9 of 20,0 of 8,45%,0%,9 of 20,0 of 8,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,8 of 17,0 of 8,0 of 1,0 of 0,1 of 2,0 of 0,6 of 16,0 of 8,0 of 0,0 of 0,3 of 4,0 of 0,KO/TKO,1,1:21,3 Rnd (5-5-5),Marc Goddard,2012-02-25,"Saitama, Japan",Lightweight Bout,Anthony Pettis
